ID,NGS.ID,Library.ID,PCR.index,Adaptor.barcode,Sample.ID,Individual.ID,Sample.type,Locality.ID,Known.sex,Longitude,Latitude,Locality,Group,Taxon,Pool.ID,Sample.Endogenousity,Total.reads,Reads.mapped,Perc.mapped,Notes
BZ06-218,Kafue_Feces_BC3-BC01,KafueFeces,3,1,BZ06-218,BZ06_218,feces,12,NA,28.9466,-15.9234,L Zambezi NP,L,Grayfoot,11,0.000581,14240432,1360229,0.095519,
BZ06-220,Kafue_Feces_BC1-BC01,KafueFeces,1,1,BZ06-220,BZ06_220,feces,12,NA,28.9466,-15.9234,L Zambezi NP,L,Grayfoot,9,0.000289,29986780,2897161,0.096615,
BZ06-221,Kafue_Feces_BC2-BC01,KafueFeces,2,1,BZ06-221a,BZ06_221,feces,12,NA,28.9466,-15.9234,L Zambezi NP,L,Grayfoot,10,0.000894,31117888,6087018,0.195612,
BZ06-224,Kafue_Feces_BC3-BC02,KafueFeces,3,2,BZ06-224,BZ06_224,feces,12,NA,28.9466,-15.9234,L Zambezi NP,L,Grayfoot,11,0.000307,16865696,797633,0.047293,
BZ06-225,Kafue_Feces_BC3-BC03,KafueFeces,3,3,BZ06-225,BZ06_225,feces,12,NA,28.9466,-15.9234,L Zambezi NP,L,Grayfoot,11,0.000573,88517644,14898098,0.168307,
BZ06-227,Kafue_Feces_BC2-BC02,KafueFeces,2,2,BZ06-227,BZ06_227,feces,12,NA,28.9466,-15.9234,L Zambezi NP,L,Grayfoot,10,0.000309,9749007,1018867,0.104510,
BZ07-001,Kafue_Feces_BC1-BC02,KafueFeces,1,2,BZ07-001,BZ07_001,feces,11,NA,27.0308,-16.6383,Choma,K,Grayfoot,9,0.000158,6132685,227659,0.037122,
BZ07-004,Kafue_Feces_BC2-BC03,KafueFeces,2,3,BZ07-004,BZ07_004,feces,11,NA,27.0308,-16.6383,Choma,K,Grayfoot,10,0.003858,21592277,9976053,0.462020,
BZ07-005,Kafue_Feces_BC2-BC04,KafueFeces,2,4,BZ07-005,BZ07_005,feces,11,NA,27.0308,-16.6383,Choma,K,Grayfoot,10,0.002120,28049531,9818748,0.350050,
BZ07-007,Kafue_Feces_BC1-BC03,KafueFeces,1,3,BZ07-007,BZ07_007,feces,11,NA,27.0308,-16.6383,Choma,K,Grayfoot,9,0.001220,16312057,3894537,0.238752,
BZ07-029,Kafue_Feces_BC1-BC04,KafueFeces,1,4,BZ07-029,BZ07_029,feces,10,NA,25.9612,-16.2337,Nanzhila Pl,J,Hybrid,9,0.000030,8687817,149172,0.017170,
BZ07-030,Kafue_Feces_BC2-BC05,KafueFeces,2,5,BZ07-030,BZ07_030,feces,10,NA,25.9612,-16.2337,Nanzhila Pl,J,Hybrid,10,0.002748,56476470,27269140,0.482841,
BZ07-032,Kafue_Feces_BC1-BC05,KafueFeces,1,5,BZ07-032,BZ07_032,feces,10,NA,25.9612,-16.2337,Nanzhila Pl,J,Hybrid,9,0.008793,47499602,36229364,0.762730,
BZ07-034,Kafue_Feces_BC1-BC06,KafueFeces,1,6,BZ07-034,BZ07_034,feces,10,NA,25.9612,-16.2337,Nanzhila Pl,J,Hybrid,9,0.004713,12232803,6122585,0.500506,
BZ07-035,Kafue_Feces_BC2-BC06,KafueFeces,2,6,BZ07-035,BZ07_035,feces,10,NA,25.9612,-16.2337,Nanzhila Pl,J,Hybrid,10,0.004370,79878752,41958050,0.525272,
BZ07-039,Kafue_Feces_BC1-BC07,KafueFeces,1,7,BZ07-039,BZ07_039,feces,7,NA,25.8895,-15.9029,N Nkala Rd,G,Hybrid,9,0.000629,10654550,3053716,0.286611,
BZ07-041,Kafue_Feces_BC2-BC07,KafueFeces,2,7,BZ07-041,BZ07_041,feces,7,NA,25.8895,-15.9029,N Nkala Rd,G,Hybrid,10,0.004441,15785133,11119207,0.704410,
BZ07-042,Kafue_Feces_BC3-BC04,KafueFeces,3,4,BZ07-042,BZ07_042,feces,7,NA,25.8895,-15.9029,N Nkala Rd,G,Hybrid,11,0.001062,37418585,6239186,0.166740,
BZ07-045,Kafue_Feces_BC3-BC05,KafueFeces,3,5,BZ07-045,BZ07_045,feces,7,NA,25.8895,-15.9029,N Nkala Rd,G,Hybrid,11,0.000262,13024934,505736,0.038828,
BZ07-047,Kafue_Feces_BC3-BC06,KafueFeces,3,6,BZ07-047,BZ07_047,feces,7,NA,25.8895,-15.9029,N Nkala Rd,G,Hybrid,11,0.000213,27656368,2590240,0.093658,
BZ07-100,Kafue_Feces_BC3-BC07,KafueFeces,3,7,BZ07-100,BZ07_100,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,11,0.000793,6304017,207275,0.032880,
BZ11-001,Kafue_Blood_BC4-BC01,KafueBlood,4,1,BZ11-001,BZ11_001,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,1516437,1486483,0.980247,
BZ11-002,Kafue_Blood_BC4-BC02,KafueBlood,4,2,BZ11-002,BZ11_002,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,1800495,1765025,0.980300,
BZ11-003,Kafue_Blood_BC2-BC01,KafueBlood,2,1,BZ11-003,BZ11_003,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,1349785,1326049,0.982415,
BZ11-004,Kafue_Blood_BC3-BC01,KafueBlood,3,1,BZ11-004,BZ11_004,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,3046629,2991088,0.981770,
BZ11-005,Kafue_Blood_BC3-BC02,KafueBlood,3,2,BZ11-005,BZ11_005,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,2799147,2748064,0.981750,
BZ11-006,Kafue_Blood_BC3-BC03,KafueBlood,3,3,BZ11-006,BZ11_006,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,1515560,1487614,0.981561,
BZ11-007,Kafue_Blood_BC3-BC04,KafueBlood,3,4,BZ11-007,BZ11_007,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,1677405,1647231,0.982011,
BZ11-008,Kafue_Blood_BC3-BC05,KafueBlood,3,5,BZ11-008,BZ11_008,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,2282732,2238001,0.980405,
BZ11-009,Kafue_Blood_BC2-BC02,KafueBlood,2,2,BZ11-009,BZ11_009,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,1669285,1638871,0.981780,
BZ11-010,Kafue_Blood_BC4-BC03,KafueBlood,4,3,BZ11-010,BZ11_010,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,3042814,2984516,0.980841,
BZ11-011,Kafue_Blood_BC4-BC04,KafueBlood,4,4,BZ11-011,BZ11_011,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,3018592,2956748,0.979512,
BZ11-012,Kafue_Blood_BC4-BC05,KafueBlood,4,5,BZ11-012,BZ11_012,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,3088848,3031536,0.981445,
BZ11-013,Kafue_Blood_BC6-BC01,KafueBlood,6,1,BZ11-013,BZ11_013,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,6545474,6404716,0.978495,
BZ11-014,Kafue_Blood_BC4-BC06,KafueBlood,4,6,BZ11-014,BZ11_014,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,3910484,3835630,0.980858,
BZ11-015,Kafue_Blood_BC8-BC01,KafueBlood,8,1,BZ11-015,BZ11_015,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,8,NA,1343922,1318560,0.981128,
BZ11-016,Kafue_Blood_BC4-BC07,KafueBlood,4,7,BZ11-016,BZ11_016,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,2525171,2473228,0.979430,
BZ11-017,Kafue_Blood_BC2-BC03,KafueBlood,2,3,BZ11-017,BZ11_017,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,84303,81299,0.964367,
BZ11-018,Kafue_Blood_BC1-BC01,KafueBlood,1,1,BZ11-018,BZ11_018,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,4641575,4558521,0.982106,
BZ11-019,Kafue_Blood_BC2-BC04,KafueBlood,2,4,BZ11-019,BZ11_019,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,4843224,4757232,0.982245,
BZ11-020,Kafue_Blood_BC3-BC06,KafueBlood,3,6,BZ11-020,BZ11_020,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,2326250,2285158,0.982336,
BZ11-021,Kafue_Blood_BC5-BC01,KafueBlood,5,1,BZ11-021,BZ11_021,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,532473,522300,0.980895,
BZ11-022,Kafue_Blood_BC5-BC02,KafueBlood,5,2,BZ11-022,BZ11_022,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,852148,836200,0.981285,
BZ11-023,Kafue_Blood_BC6-BC02,KafueBlood,6,2,BZ11-023,BZ11_023,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,1814677,1776751,0.979100,
BZ11-024,Kafue_Blood_BC3-BC07,KafueBlood,3,7,BZ11-024,BZ11_024,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,3704460,3641362,0.982967,
BZ11-025,Kafue_Blood_BC2-BC05,KafueBlood,2,5,BZ11-025,BZ11_025,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,4277195,4200325,0.982028,
BZ11-026,Kafue_Blood_BC6-BC03,KafueBlood,6,3,BZ11-026,BZ11_026,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,2057166,2010772,0.977448,
BZ11-028,Kafue_Blood_BC2-BC06,KafueBlood,2,6,BZ11-028,BZ11_028,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,2671403,2623792,0.982178,
BZ11-029,Kafue_Blood_BC4-BC08,KafueBlood,4,8,BZ11-029,BZ11_029,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,4085261,4007762,0.981030,
BZ11-030,Kafue_Blood_BC4-BC09,KafueBlood,4,9,BZ11-030,BZ11_030,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,1693974,1657962,0.978741,
BZ11-031,Kafue_Blood_BC2-BC07,KafueBlood,2,7,BZ11-031,BZ11_031,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,2252007,2210558,0.981595,
BZ11-032,Kafue_Blood_BC3-BC08,KafueBlood,3,8,BZ11-032,BZ11_032,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,3151586,3097746,0.982917,
BZ11-033,Kafue_Blood_BC4-BC10,KafueBlood,4,10,BZ11-033,BZ11_033,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,3013858,2955905,0.980771,
BZ11-034,Kafue_Blood_BC4-BC11,KafueBlood,4,11,BZ11-034,BZ11_034,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,1588486,1555748,0.979390,
BZ11-035,Kafue_Blood_BC8-BC02,KafueBlood,8,2,BZ11-035,BZ11_035,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,8,NA,1086425,1064567,0.979881,
BZ11-036,Kafue_Blood_BC1-BC02,KafueBlood,1,2,BZ11-036,BZ11_036,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,4379214,4306507,0.983397,
BZ11-037,Kafue_Blood_BC3-BC09,KafueBlood,3,9,BZ11-037,BZ11_037,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,2896937,2842335,0.981152,
BZ11-038,Kafue_Blood_BC3-BC10,KafueBlood,3,10,BZ11-038,BZ11_038,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,1819564,1785859,0.981476,
BZ11-039,Kafue_Blood_BC3-BC11,KafueBlood,3,11,BZ11-039,BZ11_039,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,1470648,1440712,0.979644,
BZ11-040,Kafue_Blood_BC8-BC03,KafueBlood,8,3,BZ11-040,BZ11_040,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,8,NA,4965603,4870839,0.980916,
BZ11-041,Kafue_Blood_BC4-BC12,KafueBlood,4,12,BZ11-041,BZ11_041,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,4,NA,3460074,3394320,0.980996,
BZ11-042,Kafue_Blood_BC3-BC12,KafueBlood,3,12,BZ11-042,BZ11_042,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,3,NA,1299079,1275736,0.982031,
BZ11-043,Kafue_Blood_BC6-BC04,KafueBlood,6,4,BZ11-043,BZ11_043,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,3380828,3316866,0.981081,
BZ11-045,Kafue_Blood_BC1-BC03,KafueBlood,1,3,BZ11-045,BZ11_045,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,4158092,4088332,0.983223,
BZ11-046,Kafue_Blood_BC6-BC05,KafueBlood,6,5,BZ11-046,BZ11_046,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,1164503,1136320,0.975798,
BZ11-047,Kafue_Blood_BC1-BC04,KafueBlood,1,4,BZ11-047,BZ11_047,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,2602528,2556572,0.982342,
BZ11-048,Kafue_Blood_BC6-BC06,KafueBlood,6,6,BZ11-048,BZ11_048,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,2414695,2366812,0.980170,
BZ11-050,Kafue_Blood_BC2-BC08,KafueBlood,2,8,BZ11-050,BZ11_050,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,1694813,1664697,0.982230,
BZ11-051,Kafue_Blood_BC6-BC07,KafueBlood,6,7,BZ11-051,BZ11_051,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,1803909,1764217,0.977997,
BZ11-052,Kafue_Blood_BC6-BC08,KafueBlood,6,8,BZ11-052,BZ11_052,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,2731481,2675368,0.979457,
BZ11-053,Kafue_Blood_BC1-BC05,KafueBlood,1,5,BZ11-053,BZ11_053,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,2628587,2581257,0.981994,
BZ11-054,Kafue_Blood_BC1-BC06,KafueBlood,1,6,BZ11-054,BZ11_054,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,2763623,2709842,0.980540,
BZ11-056,Kafue_Blood_BC1-BC07,KafueBlood,1,7,BZ11-056,BZ11_056,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,3022347,2962211,0.980103,
BZ11-057,Kafue_Blood_BC2-BC09,KafueBlood,2,9,BZ11-057,BZ11_057,buffy coat,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,2339444,2290000,0.978865,
BZ11-058,Kafue_Blood_BC1-BC08,KafueBlood,1,8,BZ11-058,BZ11_058,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,1,NA,2764220,2716162,0.982614,
BZ11-059,Kafue_Blood_BC2-BC10,KafueBlood,2,10,BZ11-059,BZ11_059,buffy coat,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,2,NA,3227000,3167170,0.981460,
BZ11-061,Kafue_Blood_BC5-BC03,KafueBlood,5,3,BZ11-061,BZ11_061,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,4342044,4264362,0.982109,
BZ11-062,Kafue_Blood_BC6-BC09,KafueBlood,6,9,BZ11-062,BZ11_062,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,1714839,1676486,0.977635,
BZ11-063,Kafue_Blood_BC6-BC10,KafueBlood,6,10,BZ11-063,BZ11_063,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,1193205,1166120,0.977301,
BZ11-064,Kafue_Blood_BC5-BC04,KafueBlood,5,4,BZ11-064,BZ11_064,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,659283,645598,0.979243,
BZ11-065,Kafue_Blood_BC5-BC05,KafueBlood,5,5,BZ11-065,BZ11_065,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,1617424,1586620,0.980955,
BZ11-066,Kafue_Blood_BC5-BC06,KafueBlood,5,6,BZ11-066,BZ11_066,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,555490,542892,0.977321,
BZ11-067,Kafue_Blood_BC5-BC07,KafueBlood,5,7,BZ11-067,BZ11_067,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,1101516,1079683,0.980179,
BZ11-068,Kafue_Blood_BC5-BC08,KafueBlood,5,8,BZ11-068,BZ11_068,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,2504461,2455855,0.980592,
BZ11-069,Kafue_Blood_BC5-BC09,KafueBlood,5,9,BZ11-069,BZ11_069,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,1595126,1563411,0.980118,
BZ11-070,Kafue_Blood_BC5-BC10,KafueBlood,5,10,BZ11-070,BZ11_070,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,4521044,4438385,0.981717,
BZ11-071,Kafue_Blood_BC8-BC04,KafueBlood,8,4,BZ11-071,BZ11_071,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,8,NA,354199,346586,0.978506,
BZ11-072,Kafue_Blood_BC6-BC11,KafueBlood,6,11,BZ11-072,BZ11_072,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,1831986,1792291,0.978332,
BZ11-073,Kafue_Blood_BC5-BC11,KafueBlood,5,11,BZ11-073,BZ11_073,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,2515009,2466402,0.980673,
BZ11-074,Kafue_Blood_BC8-BC05,KafueBlood,8,5,BZ11-074,BZ11_074,FTA,1,male,25.9994,-15.0446,Chunga HQ,A,Kinda,8,NA,494816,484164,0.978473,
BZ11-075,Kafue_Blood_BC5-BC12,KafueBlood,5,12,BZ11-075,BZ11_075,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,5,NA,7922545,7783311,0.982426,
BZ11-076,Kafue_Blood_BC6-BC12,KafueBlood,6,12,BZ11-076,BZ11_076,FTA,1,female,25.9994,-15.0446,Chunga HQ,A,Kinda,6,NA,4040449,3968006,0.982071,
BZ12-001,Kafue_Blood_BC7-BC01,KafueBlood,7,1,BZ12-001,BZ12_001,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2433130,2333852,0.959197,
BZ12-002,Kafue_Blood_BC7-BC02,KafueBlood,7,2,BZ12-002,BZ12_002,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2575907,2495600,0.968824,
BZ12-003,Kafue_Blood_BC7-BC03,KafueBlood,7,3,BZ12-003,BZ12_003,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,3521658,3432323,0.974633,
BZ12-004,Kafue_Blood_BC7-BC04,KafueBlood,7,4,BZ12-004,BZ12_004,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,3756100,3662538,0.975091,
BZ12-005,Kafue_Blood_BC7-BC05,KafueBlood,7,5,BZ12-005,BZ12_005,plasma,8,female,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,1787415,1741951,0.974564,
BZ12-006,Kafue_Blood_BC7-BC06,KafueBlood,7,6,BZ12-006,BZ12_006,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2050427,1972787,0.962135,
BZ12-007,Kafue_Blood_BC7-BC07,KafueBlood,7,7,BZ12-007,BZ12_007,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,690801,652197,0.944117,
BZ12-008,Kafue_Blood_BC7-BC08,KafueBlood,7,8,BZ12-008,BZ12_008,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,1463141,1418438,0.969447,
BZ12-009,Kafue_Blood_BC7-BC09,KafueBlood,7,9,BZ12-009,BZ12_009,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,795724,759860,0.954929,
BZ12-010,Kafue_Blood_BC7-BC10,KafueBlood,7,10,BZ12-010,BZ12_010,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2452518,2392391,0.975484,
BZ12-011,Kafue_Blood_BC1-BC09,KafueBlood,1,9,BZ12-011,BZ12_011,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,1,NA,1890122,1856071,0.981985,
BZ12-012,Kafue_Blood_BC7-BC11,KafueBlood,7,11,BZ12-012,BZ12_012,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2732024,2690072,0.984644,
BZ12-030,Kafue_Blood_BC8-BC06,KafueBlood,8,6,BZ12-030,BZ12_030,plasma,9,male,26.0599,-16.1518,Dendro P,I,Hybrid,8,NA,1362356,1335266,0.980115,
BZ12-031,Kafue_Blood_BC8-BC07,KafueBlood,8,7,BZ12-031,BZ12_031,plasma,9,female,26.0599,-16.1518,Dendro P,I,Hybrid,8,NA,4020553,3949909,0.982429,
BZ12-032,Kafue_Blood_BC7-BC12,KafueBlood,7,12,BZ12-032,BZ12_032,plasma,9,female,26.0599,-16.1518,Dendro P,I,Hybrid,7,NA,9306987,8926478,0.959116,
BZ12-033,Kafue_Blood_BC8-BC08,KafueBlood,8,8,BZ12-033,BZ12_033,plasma,9,female,26.0599,-16.1518,Dendro P,I,Hybrid,8,NA,3818724,3753534,0.982929,
Chiou-14-001,Kafue_Feces_BC2-BC08,KafueFeces,2,8,Chiou-14-001,Chiou_14_001,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,10,0.000079,19371441,733566,0.037868,
Chiou-14-003,Kafue_Feces_BC1-BC09,KafueFeces,1,9,Chiou-14-003,Chiou_14_003,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,9,0.000339,20911095,651767,0.031169,
Chiou-14-004,Kafue_Feces_BC2-BC09,KafueFeces,2,9,Chiou-14-004,Chiou_14_004,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,10,0.000088,15258715,520738,0.034127,
Chiou-14-005,Kafue_Feces_BC4-BC08,KafueFeces,4,8,Chiou-14-005,Chiou_14_005,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,12,0.024120,15550384,9937889,0.639077,
Chiou-14-030,Kafue_Feces_BC2-BC11,KafueFeces,2,11,Chiou-14-030,Chiou_14_030,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,10,0.002962,22101022,9695580,0.438694,
Chiou-14-036,Kafue_Feces_BC3-BC08,KafueFeces,3,8,Chiou-14-036,Chiou_14_036,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,11,0.003708,40229679,25429575,0.632110,
Chiou-14-039,Kafue_Feces_BC2-BC12,KafueFeces,2,12,Chiou-14-039,Chiou_14_039,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,10,0.002900,93196509,32471211,0.348417,
Chiou-14-041,Kafue_Feces_BC1-BC11,KafueFeces,1,11,Chiou-14-041,Chiou_14_041,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,9,0.000271,4753321,406508,0.085521,
Chiou-14-042,Kafue_Feces_BC1-BC12,KafueFeces,1,12,Chiou-14-042,Chiou_14_042,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,9,0.005310,51750890,25772712,0.498015,
Chiou-14-044,Kafue_Feces_BC1-BC10,KafueFeces,1,10,Chiou-14-044,Chiou_14_044,feces,3,NA,25.9605,-15.4940,Namiyezhi R,C,Hybrid,9,0.000292,10035649,626032,0.062381,
Chiou-14-050,FecalSeq3_BC1-BC07,FecalSeq3,1,7,Chiou-14-050,Chiou_14_050,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,NA,0.029900,7822964,4517913,0.577519,
Chiou-14-054,Kafue_Feces_BC4-BC01,KafueFeces,4,1,Chiou-14-054,Chiou_14_054,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.004415,38838429,25741049,0.662773,
Chiou-14-056,Kafue_Feces_BC4-BC02,KafueFeces,4,2,Chiou-14-056,Chiou_14_056,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.001098,38427566,13803642,0.359212,
Chiou-14-057,Kafue_Feces_BC1-BC08,KafueFeces,1,8,Chiou-14-057,Chiou_14_057,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,9,0.002374,130448259,49876710,0.382349,
Chiou-14-058,Kafue_Feces_BC4-BC03,KafueFeces,4,3,Chiou-14-058,Chiou_14_058,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.005733,59357963,24179487,0.407350,
Chiou-14-059,Kafue_Feces_BC4-BC04,KafueFeces,4,4,Chiou-14-059,Chiou_14_059,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.008954,33276007,17637529,0.530037,
Chiou-14-065,Kafue_Feces_BC2-BC10,KafueFeces,2,10,Chiou-14-065,Chiou_14_065,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,10,0.000770,38997358,5607278,0.143786,
Chiou-14-069,FecalSeq3_BC1-BC11,FecalSeq3,1,11,Chiou-14-069,Chiou_14_069,feces,7,male,25.8895,-15.9029,N Nkala Rd,G,Hybrid,NA,0.000049,2723812,256271,0.094085,
Chiou-15-003,Kafue_Feces_BC4-BC05,KafueFeces,4,5,Chiou-15-003a,Chiou_15_003,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,12,0.001017,8098609,430680,0.053180,
Chiou-15-004,Kafue_Feces_BC4-BC06,KafueFeces,4,6,Chiou-15-004,Chiou_15_004,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,12,0.031094,46300677,36112114,0.779948,
Chiou-15-005,Kafue_Feces_BC4-BC07,KafueFeces,4,7,Chiou-15-005a,Chiou_15_005,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,12,0.001113,9662129,3237114,0.335031,